year,problem,paper,pages,median_text_lines_per_page,median_paragraph_candidates_per_page,median_han_per_page,heading_candidates,caption_candidates,equation_line_candidates,caption_pages,equation_pages,fallback_pages,unconfirmed_pages,models_in_chain,section_sequence,detected_section_count,摘要_page,问题重述_page,问题分析_page,模型假设_page,符号说明_page,模型建立_page,模型求解_page,结果分析_page,模型检验_page,灵敏度分析_page,模型评价_page,改进方案_page,参考文献_page,附录_page
2023,C,C228,70,37.5,6.5,182.5,282,33,478,6、9、10、11、12、13、14、16、17、19、20、23、27、29、36、37、38、39,5、8、9、14、17、18、20、21、22、25、26、27、28、29、32、36、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59、60、61、62、63、64、65、66、67、68、69、70,57,37,LSTM、NSGA、线性规划、遗传算法、非线性规划、VIKOR、VAR、回归、ARIMA、粒子群、多目标、0-1、ODE、Prophet,摘要 -> 附录 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型求解 -> 灵敏度分析 -> 参考文献,10,1,2,3,,4,7,16,9,,28,,,30,1
2024,A,A016,59,28,7,238,66,21,453,6、8、10、11、13、14、16、17、19、20、21、22、23、24、25、26、29、31,6、7、8、9、10、11、12、13、14、15、17、18、20、21、22、24、27、29、30、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59,48,47,0-1,摘要 -> 模型建立 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型求解 -> 模型检验 -> 灵敏度分析 -> 模型评价 -> 参考文献 -> 附录,12,1,2,3,4,5,1,10,,30,30,31,,32,33
2024,A,A053,62,33.0,5.5,224.0,40,28,568,3、4、5、7、8、9、13、15、16、17、18、19、20、22、23、24、27、28、32、34、37、38、41,5、6、7、8、9、10、11、12、13、16、17、18、19、20、21、22、25、26、27、28、29、30、31、32、33、34、35、36、38、39、40、41、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59、60、61、62,56,53,粒子群,摘要 -> 结果分析 -> 灵敏度分析 -> 问题重述 -> 符号说明 -> 问题分析 -> 模型建立 -> 模型求解 -> 模型检验 -> 模型评价 -> 参考文献,11,1,2,3,,3,4,7,1,28,1,42,,42,
2024,A,A163,44,28.0,8.0,205.0,69,22,488,3、4、5、7、8、9、10、13、14、16、17、18、20、21、22、25、26、27、28,3、7、8、9、10、11、12、14、15、16、17、18、19、20、21、22、23、24、25、26、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44,37,34,,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型评价 -> 参考文献 -> 附录,9,1,2,4,6,6,7,,,,,28,,29,29
2024,A,A178,48,35.5,4.0,72.0,180,16,506,3、4、5、7、8、9、10、12、15、16、17、18,4、5、6、7、8、9、10、11、12、13、14、16、17、18、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48,43,40,微分方程、ODE,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,12,1,2,2,3,3,4,1,6,18,,19,,20,21
2024,A,A242,58,38.5,3.0,66.0,90,26,606,4、6、7、8、9、11、12、13、15、16、17、18、19、20、24、25、27、29、31,5、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,50,49,微分方程、粒子群、0-1,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,11,1,2,3,4,4,5,1,7,,,29,,30,31
2024,B,B159,37,39,6,268,142,9,208,3、7、8、13、21、22、24,4、5、6、7、9、10、11、12、14、15、16、17、18、19、21、22、25、26、27、28、29、30、31、32、33、34、35、36,31,30,,摘要 -> 结果分析 -> 灵敏度分析 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 模型评价 -> 参考文献 -> 附录,12,1,2,3,4,4,4,17,1,,1,22,,23,24
2024,B,B195,70,51.0,3.0,108.0,66,9,1130,8、9、10、12、16、17、18、20、21,2、5、6、7、8、9、10、11、12、13、14、16、18、19、20、22、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59、60、61、62、63、64、65、66、67、68、69、70,63,62,模拟退火、多目标、ODE、RNN、VAR,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 改进方案 -> 模型评价 -> 参考文献,11,1,2,3,4,5,5,1,15,,,21,21,22,
2024,B,B196,28,25.5,1.0,456.5,44,21,64,6、7、8、10、12、13、16、17、18、19、20、21、22,5、11、20、21、22、25、26、27、28,0,27,蒙特卡洛、蚁群、遗传算法,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录 -> 模型求解,11,1,2,2,4,4,5,26,11,,,23,,24,25
2024,C,C038,61,38,7,560,91,25,259,5、6、7、8、9、19、20、21、25、29、30、32、35、36、37、41、43、49、50、51,4、7、9、11、12、13、14、15、16、17、18、21、22、26、27、28、30、32、35、36、37、38、39、40、41、43、47、48、52、53、54、55、56、57、58、59、60、61,54,45,VAR、遗传算法、ODE,摘要 -> 灵敏度分析 -> 问题重述 -> 模型建立 -> 模型假设 -> 符号说明 -> 问题分析 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,12,1,2,4,3,4,3,5,29,,1,44,,45,46
2024,C,C063,49,38,7,282,335,17,229,4、5、7、8、9、10、11、12、18、19、45、47,5、6、8、11、12、13、14、16、18、20、21、22、23、24、25、26、28、30、31、32、33、34、35、36、37、38、39、40、41、46,45,44,0-1、线性规划、VAR、ODE,摘要 -> 灵敏度分析 -> 模型求解 -> 问题重述 -> 问题分析 -> 符号说明 -> 模型建立 -> 结果分析 -> 参考文献 -> 附录,10,1,2,3,,4,4,1,17,,1,,,34,41
2024,C,C094,58,60.0,7.0,153.5,101,16,440,2、3、4、5、6、7、13、14、15、17、18、19、21,6、7、8、9、10、11、12、13、16、18、19、20、21、23、24、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58,51,50,蒙特卡洛、线性规划、0-1、VAR、ODE,摘要 -> 灵敏度分析 -> 结果分析 -> 问题重述 -> 问题分析 -> 模型求解 -> 模型假设 -> 符号说明 -> 模型建立 -> 参考文献 -> 模型评价 -> 附录,12,1,2,3,4,4,4,3,1,,1,22,,17,23
2024,C,C234,45,37,6,185,66,14,519,3、5、6、7、13、14、15、17、19、20、23,5、8、9、10、11、12、13、15、16、17、18、19、21、22、25、26、27、28、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45,38,37,遗传算法、线性规划、0-1,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型评价 -> 参考文献,9,1,2,2,4,4,5,1,,,,23,,25,
2025,A,A196,34,32.0,8.0,458.0,130,15,164,2、3、5、8、13、14、15、16、23、28、31、34,4、6、7、8、9、10、11、12、13、14、15、16、17、18、19、20、21、22、23、25、26、27、29、30、31、32、33,25,24,粒子群、多目标、ODE,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 符号说明 -> 模型建立 -> 模型求解 -> 灵敏度分析 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,12,1,2,3,4,4,11,12,16,,14,33,,33,34
2025,B,B060,72,35.5,5.0,96.0,120,26,431,6、7、9、10、11、13、14、15、18、20、21、22、23、24、25、26、28、30、32,3、4、5、6、7、8、9、10、11、12、13、14、15、16、17、18、20、21、22、23、24、25、27、28、29、30、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59、60、61、62、63、64、65、66、67、68、69、70、71,63,51,有限差分、VAR、ODE、RNN、0-1,摘要 -> 模型求解 -> 问题重述 -> 问题分析 -> 模型假设 -> 结果分析 -> 模型建立 -> 模型检验 -> 模型评价 -> 参考文献 -> 附录,11,1,2,2,3,,3,1,3,8,,29,,31,32
2025,B,B157,67,36,0,7,121,29,779,4、5、7、8、9、10、13、14、15、16、17、18、20、21、22、23、25、26、27,5、6、7、8、9、10、11、12、13、15、16、17、18、19、20、22、23、24、25、26、27、29、30、31、32、33、34、35、36、37、38、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59、60、61、62、63、64、65、66、67,61,60,0-1、ODE、回归,摘要 -> 灵敏度分析 -> 问题重述 -> 问题分析 -> 模型建立 -> 模型假设 -> 符号说明 -> 模型求解 -> 模型评价 -> 参考文献 -> 附录,11,1,2,2,3,4,3,6,,,1,27,,28,39
2025,C,C023,28,26.5,6.0,316.5,121,21,74,2、5、6、7、12、13、14、17、18、20、21、25、26、27、28,1、3、5、6、7、8、9、10、11、12、13、14、15、16、18、19、20、21、22、26、28,21,17,VAR、回归、0-1,摘要 -> 模型检验 -> 灵敏度分析 -> 问题重述 -> 符号说明 -> 问题分析 -> 模型建立 -> 模型求解 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,12,1,2,4,,4,6,8,12,1,1,22,,22,24
2025,C,C132,65,33,7,314,101,23,437,8、9、10、13、18、19、23、25、27、28、29、30、34、61、62、63、64,5、6、7、8、9、10、12、13、14、15、16、17、18、19、20、21、22、23、24、25、26、27、28、29、30、31、32、33、37、39、40、41、42、43、44、45、46、47、48、49、50、51、52、53、54、55、56、57、58、59、60、65,58,53,LSTM、LightGBM、回归、0-1、遗传算法、ODE,摘要 -> 问题重述 -> 问题分析 -> 模型假设 -> 模型建立 -> 符号说明 -> 模型求解 -> 模型检验 -> 灵敏度分析 -> 结果分析 -> 模型评价 -> 参考文献 -> 附录,13,1,2,3,3,5,3,7,27,8,11,34,,35,36
